序号,事件,时间
0,START,1647434757795
1,FINISH,1647434759208
2,SINGLE_WAKEUP,1647434759659
3,WAKEUP,1647434759695
4,START,1647434761305
5,FINISH,1647434762657
6,SINGLE_WAKEUP,1647434762982
7,WAKEUP,1647434763064
8,ASR_RECOGNITION,1647434763185
9,START,1647434765760
10,FINISH,1647434767128
11,SINGLE_WAKEUP,1647434767530
12,WAKEUP,1647434767587
13,MMWKUP,1647434767639
14,ASR_RECOGNITION,1647434767672
15,START,1647434770255
16,FINISH,1647434771629
17,SINGLE_WAKEUP,1647434771975
18,WAKEUP,1647434772050
19,ASR_RECOGNITION,1647434772109
20,START,1647434776094
21,FINISH,1647434777488
22,SINGLE_WAKEUP,1647434777886
23,WAKEUP,1647434777961
24,ASR_RECOGNITION,1647434778026
25,MMWKUP,1647434778110
26,START,1647434780717
27,FINISH,1647434782110
28,SINGLE_WAKEUP,1647434782517
29,WAKEUP,1647434782552
30,ASR_RECOGNITION,1647434782618
31,START,1647434788025
32,FINISH,1647434789421
33,SINGLE_WAKEUP,1647434789807
34,WAKEUP,1647434789871
35,ASR_RECOGNITION,1647434789912
36,START,1647434792666
37,FINISH,1647434794052
38,SINGLE_WAKEUP,1647434794432
39,WAKEUP,1647434794464
40,ASR_RECOGNITION,1647434794549
41,START,1647434799038
42,FINISH,1647434800426
43,SINGLE_WAKEUP,1647434800782
44,WAKEUP,1647434800884
45,ASR_RECOGNITION,1647434801008
46,MMWKUP,1647434801130
47,START,1647434811662
48,FINISH,1647434813060
49,SINGLE_WAKEUP,1647434813453
50,WAKEUP,1647434813500
51,ASR_RECOGNITION,1647434813561
52,MMWKUP,1647434813792
53,START,1647434816244
54,FINISH,1647434817661
55,MMWKUP,1647434818059
56,WAKEUP,1647434818115
57,SINGLE_WAKEUP,1647434818164
58,ASR_RECOGNITION,1647434818196
59,START,1647434823244
60,FINISH,1647434824645
61,MMWKUP,1647434824968
62,WAKEUP,1647434825093
63,SINGLE_WAKEUP,1647434825156
64,ASR_RECOGNITION,1647434825237
65,START,1647434828119
66,FINISH,1647434829499
67,SINGLE_WAKEUP,1647434829894
68,WAKEUP,1647434829965
69,ASR_RECOGNITION,1647434830024
70,MMWKUP,1647434830186
71,START,1647434833177
72,FINISH,1647434834546
73,SINGLE_WAKEUP,1647434834940
74,WAKEUP,1647434835009
75,ASR_RECOGNITION,1647434835068
76,MMWKUP,1647434835266
77,START,1647434837615
78,FINISH,1647434838985
79,SINGLE_WAKEUP,1647434839383
80,WAKEUP,1647434839492
81,MMWKUP,1647434839555
82,ASR_RECOGNITION,1647434839630
83,START,1647434842331
84,FINISH,1647434843726
85,SINGLE_WAKEUP,1647434844125
86,WAKEUP,1647434844193
87,MMWKUP,1647434844259
88,ASR_RECOGNITION,1647434844321
89,START,1647434847085
90,FINISH,1647434848463
91,SINGLE_WAKEUP,1647434848926
92,WAKEUP,1647434848964
93,ASR_RECOGNITION,1647434849034
94,MMWKUP,1647434849156
95,START,1647434856410
96,FINISH,1647434857818
97,MMWKUP,1647434858171
98,WAKEUP,1647434858239
99,ASR_RECOGNITION,1647434858295
100,SINGLE_WAKEUP,1647434858352
101,START,1647434861195
102,FINISH,1647434862587
103,SINGLE_WAKEUP,1647434863011
104,WAKEUP,1647434863092
105,MMWKUP,1647434863217
106,ASR_RECOGNITION,1647434863255
107,START,1647434865989
108,FINISH,1647434867381
109,MMWKUP,1647434867763
110,SINGLE_WAKEUP,1647434867792
111,WAKEUP,1647434867818
112,ASR_RECOGNITION,1647434867871
113,START,1647434870404
114,FINISH,1647434871776
115,SINGLE_WAKEUP,1647434872197
116,WAKEUP,1647434872263
117,ASR_RECOGNITION,1647434872324
118,MMWKUP,1647434872523
119,START,1647434875856
120,FINISH,1647434877235
121,SINGLE_WAKEUP,1647434877586
122,WAKEUP,1647434877686
123,ASR_RECOGNITION,1647434877790
124,START,1647434880225
125,FINISH,1647434881612
126,SINGLE_WAKEUP,1647434882002
127,WAKEUP,1647434882030
128,ASR_RECOGNITION,1647434882106
129,MMWKUP,1647434882337
130,START,1647434885308
131,FINISH,1647434886683
132,MMWKUP,1647434887004
133,SINGLE_WAKEUP,1647434887108
134,WAKEUP,1647434887141
135,ASR_RECOGNITION,1647434887210
136,START,1647434890445
137,FINISH,1647434891847
138,SINGLE_WAKEUP,1647434892291
139,WAKEUP,1647434892319
140,ASR_RECOGNITION,1647434892396
141,MMWKUP,1647434892540
142,START,1647434908475
143,FINISH,1647434909874
144,SINGLE_WAKEUP,1647434910223
145,MMWKUP,1647434910253
146,WAKEUP,1647434910288
147,START,1647434914461
148,FINISH,1647434915847
149,SINGLE_WAKEUP,1647434916188
150,WAKEUP,1647434916291
151,ASR_RECOGNITION,1647434916375
152,START,1647434918877
153,FINISH,1647434920276
154,MMWKUP,1647434920599
155,WAKEUP,1647434920702
156,SINGLE_WAKEUP,1647434920773
157,ASR_RECOGNITION,1647434920831
