序号,事件,时间
0,START,1647434178526
1,FINISH,1647434180142
2,COMMAND,1647434180800
3,START,1647434182491
4,FINISH,1647434183917
5,COMMAND,1647434184487
6,START,1647434185652
7,FINISH,1647434187070
8,COMMAND,1647434187717
9,START,1647434190277
10,FINISH,1647434191661
11,COMMAND,1647434192312
12,START,1647434193958
13,FINISH,1647434195377
14,COMMAND,1647434195988
15,START,1647434202728
16,FINISH,1647434204116
17,COMMAND,1647434204679
18,START,1647434209441
19,FINISH,1647434210862
20,COMMAND,1647434211498
21,START,1647434213695
22,FINISH,1647434215081
23,COMMAND,1647434215720
24,START,1647434217341
25,FINISH,1647434218717
26,COMMAND,1647434219402
27,START,1647434221166
28,FINISH,1647434222548
29,COMMAND,1647434223207
30,START,1647434230015
31,FINISH,1647434231408
32,COMMAND,1647434232052
33,START,1647434240212
34,FINISH,1647434241608
35,COMMAND,1647434242281
36,START,1647434246150
37,FINISH,1647434247543
38,COMMAND,1647434248195
39,START,1647434251452
40,FINISH,1647434252885
41,COMMAND,1647434253446
42,START,1647434256366
43,FINISH,1647434257764
44,COMMAND,1647434258569
45,START,1647434259617
46,FINISH,1647434260990
47,COMMAND,1647434261620
48,START,1647434263080
49,FINISH,1647434264471
50,COMMAND,1647434265074
51,START,1647434265343
52,FINISH,1647434266746
53,COMMAND,1647434267388
54,START,1647434275137
55,FINISH,1647434276622
56,COMMAND,1647434277257
57,START,1647434279241
58,FINISH,1647434280734
59,COMMAND,1647434281418
60,START,1647434282897
61,FINISH,1647434284385
62,COMMAND,1647434285071
63,START,1647434286507
64,FINISH,1647434288033
65,COMMAND,1647434288720
66,START,1647434294837
67,FINISH,1647434296360
68,COMMAND,1647434296991
69,START,1647434298824
70,FINISH,1647434300301
71,COMMAND,1647434300980
72,START,1647434301851
73,FINISH,1647434303325
74,COMMAND,1647434303932
75,START,1647434305961
76,FINISH,1647434307453
77,COMMAND,1647434308102
78,START,1647434310222
79,FINISH,1647434311728
80,COMMAND,1647434312378
81,START,1647434313619
82,FINISH,1647434315109
83,COMMAND,1647434315762
lchliuchanghe
