序号,事件,时间
0,START,1647434001960
1,FINISH,1647434003460
2,SINGLE_WAKEUP,1647434003946
3,WAKEUP,1647434004017
4,START,1647434008711
5,FINISH,1647434010115
6,SINGLE_WAKEUP,1647434010549
7,WAKEUP,1647434010568
8,ASR_RECOGNITION,1647434010654
9,START,1647434013563
10,FINISH,1647434014958
11,SINGLE_WAKEUP,1647434015471
12,WAKEUP,1647434015492
13,ASR_RECOGNITION,1647434015597
14,START,1647434020941
15,FINISH,1647434022328
16,SINGLE_WAKEUP,1647434022791
17,WAKEUP,1647434022864
18,ASR_RECOGNITION,1647434022924
19,START,1647434026038
20,FINISH,1647434027451
21,SINGLE_WAKEUP,1647434027950
22,WAKEUP,1647434028016
23,ASR_RECOGNITION,1647434028071
24,START,1647434030767
25,FINISH,1647434032161
26,SINGLE_WAKEUP,1647434032614
27,WAKEUP,1647434032640
28,ASR_RECOGNITION,1647434032717
29,START,1647434035537
30,FINISH,1647434036935
31,SINGLE_WAKEUP,1647434037398
32,WAKEUP,1647434037424
33,ASR_RECOGNITION,1647434037501
34,START,1647434044366
35,FINISH,1647434045767
36,SINGLE_WAKEUP,1647434046238
37,WAKEUP,1647434046282
38,ASR_RECOGNITION,1647434046348
39,START,1647434048599
40,FINISH,1647434049983
41,SINGLE_WAKEUP,1647434050463
42,WAKEUP,1647434050493
43,ASR_RECOGNITION,1647434050555
44,START,1647434053621
45,FINISH,1647434055010
46,SINGLE_WAKEUP,1647434055471
47,WAKEUP,1647434055499
48,ASR_RECOGNITION,1647434055581
49,START,1647434058216
50,FINISH,1647434059619
51,SINGLE_WAKEUP,1647434060067
52,WAKEUP,1647434060097
53,ASR_RECOGNITION,1647434060165
54,START,1647434062729
55,FINISH,1647434064136
56,SINGLE_WAKEUP,1647434064625
57,WAKEUP,1647434064651
58,ASR_RECOGNITION,1647434064730
59,START,1647434066987
60,FINISH,1647434068381
61,SINGLE_WAKEUP,1647434068886
62,WAKEUP,1647434068922
63,ASR_RECOGNITION,1647434068991
64,START,1647434071632
65,FINISH,1647434073043
66,SINGLE_WAKEUP,1647434073505
67,WAKEUP,1647434073531
68,ASR_RECOGNITION,1647434073609
69,START,1647434076489
70,START,1647434076846
71,FINISH,1647434078252
72,SINGLE_WAKEUP,1647434078716
73,WAKEUP,1647434078816
74,ASR_RECOGNITION,1647434078898
75,START,1647434081845
76,FINISH,1647434083235
77,SINGLE_WAKEUP,1647434083722
78,WAKEUP,1647434083759
79,ASR_RECOGNITION,1647434083825
80,START,1647434087747
81,FINISH,1647434089135
82,SINGLE_WAKEUP,1647434089605
83,WAKEUP,1647434089639
84,ASR_RECOGNITION,1647434089708
